Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanket Vegitables,"A 110, APMC Market, Sector 19, Vashi, Navi Mumbai, Maharashtra 400703",A 110,"APMC Market, Sector 19, Vashi",Wholesaler,Yn-vZvyEMavgseMPh8ea-Q8,,YES,1029,4.3,https://search.google.com/local/reviews?placeid=ChIJ2_xA5NHB5zsRsx1ljzFZAsc&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14340122232895118771,19.076154,73.0128247,,,"Sunday:[Closed], Monday:[1 am–1 pm], Tuesday:[1 am–1 pm], Wednesday:[1 am–1 pm], Thursday:[1 am–1 pm], Friday:[1 am–1 pm], Saturday:[1 am–1 pm]",https://lh5.googleusercontent.com/p/AF1QipNpsl4hNQQCSoceVuvtWGMY1gtqkKa-6jT2srWq=w122-h92-k-no,1.43401E+19,ChIJ2_xA5NHB5zsRsx1ljzFZAsc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabji Market,"3XFW+V9G, Juhu Nagar, Sector 9A, Vashi, Navi Mumbai, Maharashtra 400703",3XFW+V9G,"Juhu Nagar, Sector 9A, Vashi",Market,Yn-vZvyEMavgseMPh8ea-Q8,,NO,981,4.1,https://search.google.com/local/reviews?placeid=ChIJNTe4dDXB5zsRZGTRQ0ysq6k&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12226055056982631524,19.0746867,72.9959633,,,"Sunday:[10 am–11 pm], Monday:[10 am–11 pm], Tuesday:[10 am–11 pm], Wednesday:[10 am–11 pm], Thursday:[10 am–11 pm], Friday:[10 am–11 pm], Saturday:[10 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipPCxtWE35W637gbERf2HgESyR2WLc26JGCjpvXF=w122-h92-k-no,1.22261E+19,ChIJNTe4dDXB5zsRZGTRQ0ysq6k,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apmc bhaji market,"32G5+CWX, MAFCO Rd, APMC Fruits and Vegetable Market, Sector 19, Vashi, Navi Mumbai, Maharashtra 400703",32G5+CWX,MAFCO Rd,Vegetable wholesale market,Yn-vZvyEMavgseMPh8ea-Q8,,NO,152,4.1,https://search.google.com/local/reviews?placeid=ChIJo2nxxwnB5zsRqeriPvB3tKo&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12300588355986582185,19.0761034,73.0098693,,,"Sunday:[3:06 am–2:03 am], Monday:[3:06 am–2:03 am], Tuesday:[3 am–4 pm], Wednesday:[6 am–4 pm], Thursday:[12 am–11 pm], Friday:[Closed], Saturday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipNjMDhHQCavqKft9ZHg15qKXPGBGNwyPTKUI44=w199-h92-k-no,1.23006E+19,ChIJo2nxxwnB5zsRqeriPvB3tKo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fruit Market Vashi, Navi Mumbai","RTO test ground, APMC Market, Sector 19, Vashi, Navi Mumbai, Maharashtra 400703",RTO test ground,"APMC Market, Sector 19, Vashi","Fruit wholesaler,Corporate office",Yn-vZvyEMavgseMPh8ea-Q8,,NO,368,4.2,https://search.google.com/local/reviews?placeid=ChIJVVXFwTnB5zsR79bvm-P4NHU&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8445648857683973871,19.0785023,73.0063792,,,"Sunday:[Closed], Monday:[9:30 am–9:30 pm], Tuesday:[9:30 am–9:30 pm], Wednesday:[9:30 am–9:30 pm], Thursday:[9:30 am–9:30 pm], Friday:[9:30 am–9:30 pm], Saturday:[9:30 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipPYkWCcISskzT4i-t1pbbClfxbzgk78Jx8b9UIM=w122-h92-k-no,8.44565E+18,ChIJVVXFwTnB5zsR79bvm-P4NHU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit And Vegetable Market,"Maratha Bhavan, Road, Juhu Nagar Rd, near NMMC Office, beside police chouki, Juhu Nagar, Sector 15, Vashi, Navi Mumbai, Maharashtra 400703",Maratha Bhavan,"Road, Juhu Nagar Rd","Vegetable wholesale market,Fruit and vegetable store",Yn-vZvyEMavgseMPh8ea-Q8,,YES,359,4,https://search.google.com/local/reviews?placeid=ChIJLyBycjHB5zsRQDq3HDy5vSo&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3079821388022233664,19.0817928,73.0004378,,,"Sunday:[9 am–10 pm], Monday:[9 am–10 pm], Tuesday:[9 am–10 pm], Wednesday:[9 am–10 pm], Thursday:[9 am–10 pm], Friday:[9 am–10 pm], Saturday:[9 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipPsXXQcwqxi-Fk4NvBdYGzFMohZ0CvNRxwoGqvC=w208-h92-k-no,3.07982E+18,ChIJLyBycjHB5zsRQDq3HDy5vSo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFCO Retail Vegetable Market,"Vegetable Market Rd, Sector 18, Vashi, Navi Mumbai, Maharashtra 400703",Vegetable Market Rd,"Sector 18, Vashi",Produce market,Yn-vZvyEMavgseMPh8ea-Q8,,YES,4087,4,https://search.google.com/local/reviews?placeid=ChIJLd8AMLjB5zsRZ-yqOckD0rE&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12813308052613295207,19.0713488,73.0085263,,,"Sunday:[6 am–9 pm], Monday:[6 am–9 pm], Tuesday:[6 am–9 pm], Wednesday:[6 am–9 pm], Thursday:[6 am–9 pm], Friday:[6 am–9 pm], Saturday:[6 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipO-PbXLUoCKQUPDnG_mojN6hrPAYZsr9k4hYLgy=w122-h92-k-no,1.28133E+19,ChIJLd8AMLjB5zsRZ-yqOckD0rE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VK Enterprises Pvt Ltd,"32G6+88C, APMC Fruits and Vegetable Market, Sector 19, Turbhe, Navi Mumbai, Maharashtra 400703",32G6+88C,"APMC Fruits and Vegetable Market, Sector 19, Turbhe",Market,Yn-vZvyEMavgseMPh8ea-Q8,,YES,25,4.4,https://search.google.com/local/reviews?placeid=ChIJFS-3rg_B5zsR7kZ007w024A&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9285073042360518382,19.0754791,73.0108459,,,"Sunday:[Closed], Monday:[9 am–5 pm], Tuesday:[9 am–5 pm], Wednesday:[9 am–5 pm], Thursday:[9 am–5 pm], Friday:[9 am–5 pm], Saturday:[9 am–5 pm]",https://lh5.googleusercontent.com/p/AF1QipPC1Kf1Wb7wlgeLV_DzHKgEJBU09AO0cgWMMWWh=w80-h93-k-no,9.28507E+18,ChIJFS-3rg_B5zsR7kZ007w024A,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable and Fruit Market,"237M+RQ6, Sector - 32, Kamothe, Panvel, Navi Mumbai, Maharashtra 410206",237M+RQ6,"Sector - 32, Kamothe, Panvel",Market,Yn-vZvyEMavgseMPh8ea-Q8,,NO,73,4.2,https://search.google.com/local/reviews?placeid=ChIJt9Pci37C5zsRjSIMNSN_23U&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8492521311527772813,19.0145438,73.0843779,,,"Sunday:[9 am–12 pm], Monday:[9 am–12 pm], Tuesday:[9 am–12 pm], Wednesday:[9 am–12 pm], Thursday:[9 am–12 pm], Friday:[9 am–12 pm], Saturday:[9 am–12 pm]",https://lh5.googleusercontent.com/p/AF1QipNT8gw_1ax9XxkMdJdFrHqoU2P5J7j-HN5WqQyw=w92-h92-k-no,8.49252E+18,ChIJt9Pci37C5zsRjSIMNSN_23U,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"APMC Fruit Market, Navi Mumbai","APMC Fruits and Vegetable Market, Sector 19, Turbhe, Navi Mumbai, Maharashtra 400705","APMC Fruits and Vegetable Market, Sector 19, Turbhe","Navi Mumbai, Maharashtra 400705","Fruits Wholesaler,Farmers' market,Fruit wholesaler",090040 17007,"090040 17007, +91 90040 17007",YES,4958,4.2,https://search.google.com/local/reviews?placeid=ChIJDwEUoUDB5zsRfXKP0LiX6TE&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3596572597460890237,19.074819,73.009788,http://www.csf.net.in/,csf.net.in,"Sunday:[Closed], Monday:[7 am–6 pm], Tuesday:[7 am–6 pm], Wednesday:[7 am–6 pm], Thursday:[7 am–6 pm], Friday:[7 am–6 pm], Saturday:[7 am–6 pm]",https://lh5.googleusercontent.com/p/AF1QipN-CdiI43JstORipU4_ZfxHnEeabPrIwZC9g-NW=w100-h92-k-no,3.59657E+18,ChIJDwEUoUDB5zsRfXKP0LiX6TE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDHI VEGETABLE MERCHANT,"no E775, Shop no-3 Mafco Market, Sector 18, turbhe Shop, APMC Fruits and Vegetable Market, Sector 19, Navi Mumbai, Maharashtra 400705",no E775,"Shop no-3 Mafco Market, Sector 18, turbhe Shop",Vegetable wholesale market,088984 10393,"088984 10393, +91 88984 10393",YES,16,4.6,https://search.google.com/local/reviews?placeid=ChIJox0Z9MnG5zsRt2H7id3elzc&q=navi+mumbai+all+vegetable+market&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4005915436653437367,19.0712221,73.0090341,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNoxyQLFFA5vFv3Vq9VdRmAEedEdLYKDfn_cnEz=w200-h92-k-no,4.00592E+18,ChIJox0Z9MnG5zsRt2H7id3elzc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
